Station Name,day,Min Solar radiation,Average Solar radiation,Max Solar radiation
Foster Weather Station,08/11/2020,394,504.15384615384613,821
63rd Street Weather Station,05/19/2016,3,470.64285714285717,910
Foster Weather Station,08/12/2020,410,463.0,819
Oak Street Weather Station,07/07/2018,-3,454.25,892
Oak Street Weather Station,05/21/2016,0,436.6,861
Oak Street Weather Station,05/19/2016,0,435.72727272727275,900
Oak Street Weather Station,05/27/2018,-6,427.53333333333336,835
63rd Street Weather Station,05/21/2016,2,424.7142857142857,863
Foster Weather Station,05/28/2015,0,417.0769230769231,836
Foster Weather Station,05/23/2015,0,413.26666666666665,846
63rd Street Weather Station,05/05/2018,2,405.375,796
Foster Weather Station,08/16/2021,2,401.6666666666667,793
Foster Weather Station,04/21/2022,2,397.6875,833
63rd Street Weather Station,04/21/2022,1,389.9375,801
Oak Street Weather Station,07/11/2018,-4,389.3125,824
63rd Street Weather Station,07/03/2016,2,384.22222222222223,881
63rd Street Weather Station,08/16/2021,0,383.3333333333333,757
Oak Street Weather Station,07/02/2018,-5,380.0,875
Oak Street Weather Station,05/23/2015,0,378.0,900
Oak Street Weather Station,05/05/2018,0,371.8125,853
Oak Street Weather Station,04/05/2016,2,371.6666666666667,819
Oak Street Weather Station,06/03/2018,-3,370.06666666666666,935
Oak Street Weather Station,08/22/2015,0,366.84615384615387,805
Oak Street Weather Station,08/16/2021,-3,361.3333333333333,788
Oak Street Weather Station,04/21/2022,-2,358.8125,834
Oak Street Weather Station,06/18/2016,-3,356.93333333333334,891
63rd Street Weather Station,06/11/2016,0,355.6666666666667,876
63rd Street Weather Station,07/01/2016,0,355.04761904761904,989
Oak Street Weather Station,07/06/2018,-4,352.95,982
Foster Weather Station,08/22/2015,0,348.46153846153845,726
63rd Street Weather Station,08/22/2015,0,348.0,939
63rd Street Weather Station,06/29/2016,1,339.30434782608694,925
Oak Street Weather Station,05/30/2019,-3,338.8333333333333,919
Oak Street Weather Station,07/17/2017,-3,338.22222222222223,930
Foster Weather Station,06/18/2022,2,337.69565217391306,895
Oak Street Weather Station,04/09/2016,3,335.8888888888889,850
63rd Street Weather Station,06/09/2022,1,334.5652173913044,945
63rd Street Weather Station,05/07/2017,3,334.17391304347825,914
63rd Street Weather Station,07/13/2020,0,333.2142857142857,805
63rd Street Weather Station,06/07/2017,1,333.0833333333333,921
Foster Weather Station,05/29/2021,1,331.3333333333333,910
Oak Street Weather Station,07/30/2017,-4,330.85714285714283,848
63rd Street Weather Station,07/08/2018,0,330.6818181818182,842
Foster Weather Station,06/27/2022,3,329.3333333333333,887
Foster Weather Station,06/16/2021,2,329.25,897
63rd Street Weather Station,06/01/2017,1,329.2083333333333,915
Foster Weather Station,06/09/2022,2,327.1666666666667,1027
Foster Weather Station,06/20/2022,2,325.375,881
Foster Weather Station,06/03/2022,2,325.0833333333333,890
Oak Street Weather Station,07/12/2018,-4,324.77777777777777,774
63rd Street Weather Station,05/29/2021,2,324.75,887
Oak Street Weather Station,06/17/2016,-2,324.05882352941177,889
63rd Street Weather Station,06/18/2022,1,323.5217391304348,858
Foster Weather Station,06/16/2022,0,323.0416666666667,881
63rd Street Weather Station,06/26/2016,0,323.0,1123
Oak Street Weather Station,05/22/2016,0,322.95238095238096,879
63rd Street Weather Station,06/02/2017,1,322.875,900
63rd Street Weather Station,06/17/2016,1,322.0416666666667,889
Foster Weather Station,06/23/2022,2,321.3333333333333,889
Oak Street Weather Station,06/23/2015,-2,321.1818181818182,914
63rd Street Weather Station,06/27/2016,0,321.0833333333333,881
63rd Street Weather Station,06/19/2016,0,320.82608695652175,1015
Foster Weather Station,06/17/2022,3,320.6666666666667,871
63rd Street Weather Station,07/06/2018,0,320.6521739130435,849
63rd Street Weather Station,06/23/2015,0,320.5833333333333,881
63rd Street Weather Station,07/11/2016,0,320.04347826086956,946
Foster Weather Station,06/15/2021,2,320.0416666666667,869
63rd Street Weather Station,06/06/2017,1,319.77272727272725,886
Oak Street Weather Station,05/14/2017,0,318.85,862
63rd Street Weather Station,06/24/2017,0,318.5833333333333,978
Foster Weather Station,06/02/2015,0,318.2083333333333,878
Foster Weather Station,06/23/2015,0,318.2083333333333,865
Foster Weather Station,07/14/2022,2,318.1666666666667,971
63rd Street Weather Station,07/09/2016,0,317.7916666666667,886
Foster Weather Station,07/01/2015,0,317.3809523809524,931
63rd Street Weather Station,06/16/2021,1,317.2083333333333,862
Oak Street Weather Station,06/11/2016,-5,317.06666666666666,902
63rd Street Weather Station,06/15/2020,1,316.8333333333333,866
63rd Street Weather Station,06/23/2022,0,316.5217391304348,847
Oak Street Weather Station,06/24/2018,-4,316.0,835
63rd Street Weather Station,06/09/2017,0,315.3333333333333,955
63rd Street Weather Station,06/24/2016,0,315.3333333333333,880
63rd Street Weather Station,04/23/2017,2,315.2173913043478,903
Foster Weather Station,07/09/2022,3,315.0833333333333,861
63rd Street Weather Station,06/08/2016,2,314.75,900
Foster Weather Station,06/26/2022,2,314.375,931
63rd Street Weather Station,06/15/2016,0,314.17391304347825,935
63rd Street Weather Station,07/16/2016,1,314.0416666666667,876
63rd Street Weather Station,06/14/2020,2,313.8333333333333,864
63rd Street Weather Station,05/06/2017,3,313.6666666666667,991
Foster Weather Station,06/16/2015,0,313.6666666666667,897
63rd Street Weather Station,07/17/2017,1,312.7083333333333,939
63rd Street Weather Station,07/08/2017,0,312.4583333333333,874
63rd Street Weather Station,05/31/2020,2,312.4166666666667,836
63rd Street Weather Station,07/02/2017,0,311.5217391304348,890
63rd Street Weather Station,06/24/2018,0,311.40909090909093,834
Foster Weather Station,06/29/2022,3,311.0,860
Oak Street Weather Station,05/02/2016,1,310.6666666666667,880
63rd Street Weather Station,05/14/2017,2,310.6521739130435,881
63rd Street Weather Station,08/08/2021,0,310.64285714285717,738
Oak Street Weather Station,05/07/2017,0,310.59090909090907,882
Foster Weather Station,06/24/2022,3,310.375,889
Oak Street Weather Station,06/03/2015,1,310.35,908
Oak Street Weather Station,07/20/2015,-2,310.3125,1009
Foster Weather Station,06/14/2021,2,309.7083333333333,872
Foster Weather Station,06/15/2022,2,309.625,882
63rd Street Weather Station,05/23/2016,1,309.5,877
Foster Weather Station,05/07/2022,1,309.1666666666667,884
63rd Street Weather Station,07/02/2015,2,308.9,930
63rd Street Weather Station,04/29/2018,4,308.8181818181818,822
63rd Street Weather Station,06/25/2020,0,308.3333333333333,893
63rd Street Weather Station,05/12/2017,3,308.2083333333333,886
63rd Street Weather Station,06/01/2021,2,308.0,880
Oak Street Weather Station,06/18/2022,-3,307.7391304347826,901
63rd Street Weather Station,05/27/2017,2,307.625,878
Oak Street Weather Station,06/16/2015,0,307.54545454545456,974
63rd Street Weather Station,06/03/2018,1,307.4736842105263,876
Foster Weather Station,06/27/2015,0,307.4583333333333,898
63rd Street Weather Station,03/30/2018,3,307.3125,825
63rd Street Weather Station,05/29/2017,0,307.0,918
Oak Street Weather Station,07/05/2015,0,306.44444444444446,826
63rd Street Weather Station,06/20/2022,0,305.9166666666667,830
Foster Weather Station,07/03/2022,3,305.875,845
Foster Weather Station,06/01/2021,2,305.8333333333333,864
Foster Weather Station,06/14/2022,3,305.7916666666667,843
63rd Street Weather Station,05/22/2016,2,305.5217391304348,848
63rd Street Weather Station,07/07/2018,1,305.4583333333333,845
63rd Street Weather Station,07/21/2015,0,305.375,862
63rd Street Weather Station,06/10/2016,0,305.3333333333333,893
63rd Street Weather Station,07/09/2017,0,305.17391304347825,978
Foster Weather Station,06/06/2015,0,304.3478260869565,856
Foster Weather Station,06/13/2021,2,304.17391304347825,866
63rd Street Weather Station,05/16/2017,0,304.1304347826087,963
63rd Street Weather Station,05/06/2020,3,303.875,867
Oak Street Weather Station,06/06/2015,2,303.8695652173913,904
63rd Street Weather Station,05/08/2017,3,303.75,1047
Foster Weather Station,07/10/2022,2,303.25,863
Oak Street Weather Station,05/05/2016,1,303.1363636363636,869
Foster Weather Station,06/03/2015,0,303.125,863
Foster Weather Station,06/03/2021,1,303.0833333333333,849
